method,seed,generation,samples,fitness,best_so_far
ga,2,81,164000,-0.0010000000474974513,-0.0010000000474974513
ga,2,82,166000,-0.0010000000474974513,-0.0010000000474974513
ga,2,83,168000,-0.0010000000474974513,-0.0010000000474974513
ga,2,84,170000,-0.0010000000474974513,-0.0010000000474974513
ga,2,85,172000,-0.0010000000474974513,-0.0010000000474974513
ga,2,86,174000,-0.0010000000474974513,-0.0010000000474974513
ga,2,87,176000,-0.0010000000474974513,-0.0010000000474974513
ga,2,88,178000,-0.0010000000474974513,-0.0010000000474974513
ga,2,89,180000,-0.0010000000474974513,-0.0010000000474974513
ga,2,90,182000,-0.0010000000474974513,-0.0010000000474974513
ga,2,91,184000,-0.0010000000474974513,-0.0010000000474974513
ga,2,92,186000,-0.0010000000474974513,-0.0010000000474974513
ga,2,93,188000,-0.0010000000474974513,-0.0010000000474974513
ga,2,94,190000,-0.0010000000474974513,-0.0010000000474974513
ga,2,95,192000,-0.0010000000474974513,-0.0010000000474974513
ga,2,96,194000,-0.0010000000474974513,-0.0010000000474974513
ga,2,97,196000,-0.0010000000474974513,-0.0010000000474974513
ga,2,98,198000,-0.0010000000474974513,-0.0010000000474974513
ga,2,99,200000,-0.0010000000474974513,-0.0010000000474974513
ga,3,0,2000,-4.802999973297119,-4.802999973297119
ga,3,1,4000,-4.802999973297119,-4.802999973297119
ga,3,2,6000,-1.5010000467300415,-1.5010000467300415
ga,3,3,8000,-1.5010000467300415,-1.5010000467300415
ga,3,4,10000,-1.3509999513626099,-1.3509999513626099
ga,3,5,12000,-1.3509999513626099,-1.3509999513626099
ga,3,6,14000,-1.3509999513626099,-1.3509999513626099
ga,3,7,16000,-1.3509999513626099,-1.3509999513626099
ga,3,8,18000,-1.3509999513626099,-1.3509999513626099
ga,3,9,20000,-1.3509999513626099,-1.3509999513626099
ga,3,10,22000,-1.3509999513626099,-1.3509999513626099
ga,3,11,24000,-1.3509999513626099,-1.3509999513626099
ga,3,12,26000,-1.3509999513626099,-1.3509999513626099
ga,3,13,28000,-1.3509999513626099,-1.3509999513626099
ga,3,14,30000,-1.3509999513626099,-1.3509999513626099
ga,3,15,32000,-1.0010000467300415,-1.0010000467300415
ga,3,16,34000,-1.0010000467300415,-1.0010000467300415
ga,3,17,36000,-1.0010000467300415,-1.0010000467300415
ga,3,18,38000,-0.5019999742507935,-0.5019999742507935
ga,3,19,40000,-0.0020000000949949026,-0.0020000000949949026
ga,3,20,42000,-0.0010000000474974513,-0.0010000000474974513
ga,3,21,44000,-0.0010000000474974513,-0.0010000000474974513
ga,3,22,46000,-0.0010000000474974513,-0.0010000000474974513
ga,3,23,48000,-0.0010000000474974513,-0.0010000000474974513
ga,3,24,50000,-0.0010000000474974513,-0.0010000000474974513
ga,3,25,52000,-0.0010000000474974513,-0.0010000000474974513
ga,3,26,54000,-0.0010000000474974513,-0.0010000000474974513
ga,3,27,56000,-0.0010000000474974513,-0.0010000000474974513
ga,3,28,58000,-0.0010000000474974513,-0.0010000000474974513
ga,3,29,60000,-0.0010000000474974513,-0.0010000000474974513
ga,3,30,62000,-0.0010000000474974513,-0.0010000000474974513
ga,3,31,64000,-0.0010000000474974513,-0.0010000000474974513
ga,3,32,66000,-0.0010000000474974513,-0.0010000000474974513
ga,3,33,68000,-0.0010000000474974513,-0.0010000000474974513
ga,3,34,70000,-0.0010000000474974513,-0.0010000000474974513
ga,3,35,72000,-0.0010000000474974513,-0.0010000000474974513
ga,3,36,74000,-0.0010000000474974513,-0.0010000000474974513
ga,3,37,76000,-0.0010000000474974513,-0.0010000000474974513
ga,3,38,78000,-0.0010000000474974513,-0.0010000000474974513
ga,3,39,80000,-0.0010000000474974513,-0.0010000000474974513
ga,3,40,82000,-0.0010000000474974513,-0.0010000000474974513
ga,3,41,84000,-0.0010000000474974513,-0.0010000000474974513
ga,3,42,86000,-0.0010000000474974513,-0.0010000000474974513
ga,3,43,88000,-0.0010000000474974513,-0.0010000000474974513
ga,3,44,90000,-0.0010000000474974513,-0.0010000000474974513
ga,3,45,92000,-0.0010000000474974513,-0.0010000000474974513
ga,3,46,94000,-0.0010000000474974513,-0.0010000000474974513
ga,3,47,96000,-0.0010000000474974513,-0.0010000000474974513
ga,3,48,98000,-0.0010000000474974513,-0.0010000000474974513
ga,3,49,100000,-0.0010000000474974513,-0.0010000000474974513
ga,3,50,102000,-0.0010000000474974513,-0.0010000000474974513
ga,3,51,104000,-0.0010000000474974513,-0.0010000000474974513
ga,3,52,106000,-0.0010000000474974513,-0.0010000000474974513
ga,3,53,108000,-0.0010000000474974513,-0.0010000000474974513
ga,3,54,110000,-0.0010000000474974513,-0.0010000000474974513
ga,3,55,112000,-0.0010000000474974513,-0.0010000000474974513
ga,3,56,114000,-0.0010000000474974513,-0.0010000000474974513
